tokenizer,protein,subtype,protein_subtype,total_tokens,observed_vocab_size,group_token_entropy_bits,group_effective_vocab_size
cds_codon,HA,H1N1,HA-H1N1,1331085,66,5.590783177555648,48.19405131046143
cds_codon,HA,H3N2,HA-H3N2,1127453,64,5.649586349401104,50.19898711074492
cds_codon,NA,H1N1,NA-H1N1,1211949,65,5.616351653392181,49.055794499576535
cds_codon,NA,H3N2,NA-H3N2,968733,63,5.669023227780356,50.87987523389232
cds_frame_k3,HA,H1N1,HA-H1N1,1331085,66,5.590783177555648,48.19405131046143
cds_frame_k3,HA,H3N2,HA-H3N2,1127453,64,5.649586349401104,50.19898711074492
cds_frame_k3,NA,H1N1,NA-H1N1,1211949,65,5.616351653392181,49.055794499576535
cds_frame_k3,NA,H3N2,NA-H3N2,968733,63,5.669023227780356,50.87987523389232
cds_frame_k6,HA,H1N1,HA-H1N1,664491,1886,8.752782263118869,431.3700678235262
cds_frame_k6,HA,H3N2,HA-H3N2,562740,1702,8.552744519848675,375.5196311944482
cds_frame_k6,NA,H1N1,NA-H1N1,605793,1772,8.543655459922228,373.16127308524426
cds_frame_k6,NA,H3N2,NA-H3N2,484360,1442,8.176268813818561,289.2691807238135
cds_nonoverlap_k3_offset0,HA,H1N1,HA-H1N1,1331085,66,5.590783177555648,48.19405131046143
cds_nonoverlap_k3_offset0,HA,H3N2,HA-H3N2,1127453,64,5.649586349401104,50.19898711074492
cds_nonoverlap_k3_offset0,NA,H1N1,NA-H1N1,1211949,65,5.616351653392181,49.055794499576535
cds_nonoverlap_k3_offset0,NA,H3N2,NA-H3N2,968733,63,5.669023227780356,50.87987523389232
cds_nonoverlap_k3_offset1,HA,H1N1,HA-H1N1,1328737,66,5.680088684870608,51.27162382110445
cds_nonoverlap_k3_offset1,HA,H3N2,HA-H3N2,1125465,64,5.682639034671782,51.36234030463646
cds_nonoverlap_k3_offset1,NA,H1N1,NA-H1N1,1209372,66,5.6820596419935345,51.341717104166975
cds_nonoverlap_k3_offset1,NA,H3N2,NA-H3N2,966672,64,5.695048610362174,51.80604738960669
cds_nonoverlap_k3_offset2,HA,H1N1,HA-H1N1,1328737,66,5.684737870701771,51.437116733516554
cds_nonoverlap_k3_offset2,HA,H3N2,HA-H3N2,1125465,64,5.687157656037689,51.52346292427915
cds_nonoverlap_k3_offset2,NA,H1N1,NA-H1N1,1209372,66,5.644716895871945,50.02983870016858
cds_nonoverlap_k3_offset2,NA,H3N2,NA-H3N2,966672,64,5.6430395693878665,49.97170610253077
raw_nonoverlap_k3,HA,H1N1,HA-H1N1,2876842,80,5.741842711166215,53.51393495652363
raw_nonoverlap_k3,HA,H3N2,HA-H3N2,2868235,94,5.778794079258576,54.90227700051318
raw_nonoverlap_k3,NA,H1N1,NA-H1N1,2371072,79,5.773074649884396,54.68505293194885
raw_nonoverlap_k3,NA,H3N2,NA-H3N2,2380592,97,5.795662808582292,55.54799019065822
raw_nonoverlap_k4,HA,H1N1,HA-H1N1,2156836,277,7.501365884193092,181.19079878312783
raw_nonoverlap_k4,HA,H3N2,HA-H3N2,2150147,298,7.58259232028069,191.68482526181205
raw_nonoverlap_k4,NA,H1N1,NA-H1N1,1777097,272,7.515448359619528,182.9681037339353
raw_nonoverlap_k4,NA,H3N2,NA-H3N2,1783970,299,7.587183061259064,192.29574919955442
raw_nonoverlap_k5,HA,H1N1,HA-H1N1,1724775,1026,8.90668579564739,479.93186570866266
raw_nonoverlap_k5,HA,H3N2,HA-H3N2,1719842,1052,9.08094336751035,541.5472347079435
raw_nonoverlap_k5,NA,H1N1,NA-H1N1,1421811,1021,8.966777570393624,500.34436513507734
raw_nonoverlap_k5,NA,H3N2,NA-H3N2,1427852,1053,9.018309553573218,518.5393104302751
raw_nonoverlap_k6,HA,H1N1,HA-H1N1,1437050,3330,9.951540544445031,990.1755697728192
raw_nonoverlap_k6,HA,H3N2,HA-H3N2,1432034,3214,9.999961007469196,1023.9723241497103
raw_nonoverlap_k6,NA,H1N1,NA-H1N1,1184597,3075,9.697389287113142,830.2426796332006
raw_nonoverlap_k6,NA,H3N2,NA-H3N2,1189682,2913,9.622503233113218,788.246600707751
raw_overlap_k3,HA,H1N1,HA-H1N1,8622194,93,5.7779676880959006,54.87083739387996
raw_overlap_k3,HA,H3N2,HA-H3N2,8596924,112,5.791266860625772,55.378990906410365
raw_overlap_k3,NA,H1N1,NA-H1N1,7106345,96,5.812607637876506,56.20426231317874
raw_overlap_k3,NA,H3N2,NA-H3N2,7134288,110,5.83546267769586,57.10173504673015
raw_overlap_k4,HA,H1N1,HA-H1N1,8617194,311,7.632050254488151,198.37002817851163
raw_overlap_k4,HA,H3N2,HA-H3N2,8591924,362,7.637009182069237,199.05305206010985
raw_overlap_k4,NA,H1N1,NA-H1N1,7101345,315,7.67157855457399,203.88029768036142
raw_overlap_k4,NA,H3N2,NA-H3N2,7129288,372,7.689204456201595,206.38645151436185
raw_overlap_k5,HA,H1N1,HA-H1N1,8612194,1103,9.325545262002468,641.6066399456123
raw_overlap_k5,HA,H3N2,HA-H3N2,8586924,1178,9.281427366060365,622.2831475859138
raw_overlap_k5,NA,H1N1,NA-H1N1,7096345,1099,9.33633509122227,646.4231661220417
raw_overlap_k5,NA,H3N2,NA-H3N2,7124288,1203,9.296577494899426,628.8523424413156
raw_overlap_k6,HA,H1N1,HA-H1N1,8607194,4008,10.62275646915285,1576.769947313638
raw_overlap_k6,HA,H3N2,HA-H3N2,8581924,4036,10.451707730519212,1400.4820047351247
raw_overlap_k6,NA,H1N1,NA-H1N1,7091345,3903,10.51114598208503,1459.3861804299536
raw_overlap_k6,NA,H3N2,NA-H3N2,7119288,4002,10.339567885177592,1295.7465931527397
